   1.0000000e-04   1.0369745e+03   8.0317371e-01
   4.0000000e-04   1.0752570e+03   8.2020304e-01
   6.0000000e-04   1.0928879e+03   8.2762221e-01
   9.0000000e-04   1.1148368e+03   8.3651524e-01
   1.0000000e-03   1.1213813e+03   8.3909667e-01
   4.0000000e-03   1.2556083e+03   8.8595171e-01
   6.0000000e-03   1.3200346e+03   9.0501390e-01
   9.0000000e-03   1.4023345e+03   9.2681963e-01
   3.0000000e-02   1.8173660e+03   1.0070125e+00
   5.0000000e-02   2.1212265e+03   1.0460442e+00
   8.0000000e-02   2.5127403e+03   1.0823126e+00
   1.0000000e-01   2.7488271e+03   1.0989955e+00
   5.0000000e-01   6.1443834e+03   1.1768538e+00
   9.0000000e-01   8.5425816e+03   1.1708225e+00
   1.0000000e+00   9.0522488e+03   1.1671872e+00
   3.0000000e+00   1.5282596e+04   1.0959572e+00
   5.0000000e+00   1.8352363e+04   1.0625021e+00
   1.0000000e+01   2.3314881e+04   1.0279831e+00
   2.0000000e+01   2.9577325e+04   9.6484615e-01
   5.0000000e+01   3.3557377e+04   8.3337500e-01
   6.0000000e+01   3.3285747e+04   8.1217532e-01
   8.0000000e+01   3.2409102e+04   7.8785221e-01
   1.0000000e+02   3.1582855e+04   7.7744941e-01
   2.0000000e+02   2.9940317e+04   7.7900672e-01
   8.0000000e+02   3.0002846e+04   7.8538302e-01
